City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
514,Billings,US,88.66,few clouds,45.7833,-108.5007,Best Western Plus Clocktower Inn
518,Fuerte Olimpo,PY,82.65,overcast clouds,-21.0415,-57.8738,Hospedaje DAMI
519,Bhag,PK,84.94,overcast clouds,29.0415,67.8239,Bukhari hotl
520,Bodden Town,KY,87.01,scattered clouds,19.2833,-81.25,Will T Place
525,Turayf,SA,79.34,clear sky,31.6725,38.6637,Turaif
529,Palaikastron,GR,76.86,clear sky,35.2,26.25,Marina Village
532,Punta Cardon,VE,82.08,clear sky,11.6581,-70.215,Bambuda hotel
540,Banff,CA,78.03,broken clouds,51.1762,-115.5698,Banff Aspen Lodge
545,Kailua,US,84.18,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
548,Pathein,MM,77.79,overcast clouds,16.7833,94.7333,Pathein Hotel
551,Gilgit,PK,84.02,overcast clouds,35.9221,74.3087,Tourist Hamlet Gilgit
555,Falakata,IN,77.79,overcast clouds,26.5208,89.2055,Hotel Nandanik Palace
556,Ranong,TH,77.27,overcast clouds,9.9658,98.6348,Numsai Khaosuay Resort Ranong
564,Puerto Leguizamo,CO,75.54,overcast clouds,-0.1934,-74.7819,la casona de juancho
571,Lucea,JM,84.06,overcast clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
574,Urucui,BR,82.71,broken clouds,-7.2294,-44.5561,Hotel Premium Piauí
576,Yenangyaung,MM,76.95,overcast clouds,20.4667,94.8833,Hotel Country
578,Ortona,IT,81.7,few clouds,42.3496,14.4039,La Casa del Palombaro
580,Ladario,BR,81.68,overcast clouds,-19.0047,-57.6017,Hotel Fazenda 4 cantos
581,Niltepec,MX,86.34,overcast clouds,16.5667,-94.6167,Hotel Palma Real
582,Touros,BR,76.69,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
585,Senador Jose Porfirio,BR,80.38,broken clouds,-2.5908,-51.9542,Pousada Novo Horizonte
587,Sabha,LY,84.02,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
589,Bacalar,MX,75.31,overcast clouds,18.6667,-88.3833,Hotel Laguna Bacalar
590,Cefalu,IT,83.53,clear sky,38.0386,14.0229,Hotel La Giara
591,Puerto Escondido,MX,84.74,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
592,Natal,BR,80.82,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
598,Cozumel,MX,79.0,overcast clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
601,Alibag,IN,80.67,overcast clouds,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
602,Matara,LK,78.17,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
604,Bom Jesus Da Lapa,BR,78.28,scattered clouds,-13.255,-43.4181,Hotel das Nações
606,Jinxiang,CN,80.92,clear sky,27.4327,120.6062,Wolong Village
607,Santa Rosa,PH,80.58,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
608,Ribas Do Rio Pardo,BR,78.33,overcast clouds,-20.4431,-53.7592,Pousada Avenida
614,Guasdualito,VE,81.05,scattered clouds,7.2424,-70.7324,Hotel Cuibas
616,Fergus Falls,US,82.38,scattered clouds,46.283,-96.0776,AmericInn by Wyndham Fergus Falls Conference Center
618,Luwuk,ID,76.24,broken clouds,-0.9516,122.7875,Hotel Santika Luwuk
621,Makaha,US,84.11,broken clouds,21.4694,-158.2175,Hawaiian Princess Resort
632,Matay,EG,83.07,clear sky,28.419,30.7792,Nag Aespen
633,Shiraz,IR,85.44,few clouds,29.6036,52.5388,Shams Hotel
634,Sal Rei,CV,78.1,light rain,16.1833,-22.9167,Marine Club Beach Resort
635,Humberto De Campos,BR,77.36,overcast clouds,-2.5983,-43.4611,Pousada do Cabeça
637,Andros Town,BS,84.33,broken clouds,24.7,-77.7667,Hanks place
641,Taos,US,90.0,few clouds,36.4072,-105.5731,El Monte Sagrado
646,Erenhot,CN,75.7,broken clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
650,Cartagena Del Chaira,CO,76.51,broken clouds,1.3349,-74.8429,HOTEL LA ROCA
652,Kloulklubed,PW,75.7,light rain,7.0419,134.2556,Storyboard Beach Resort
653,Caucaia,BR,80.55,clear sky,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
654,Invermere,CA,85.42,overcast clouds,50.5167,-116.0354,Copper Point Resort
656,Karimpur,IN,78.76,overcast clouds,23.9667,88.6167,gabrudanga jumma masjid
657,Narasannapeta,IN,80.15,overcast clouds,18.4167,84.05,AVK events and catering
658,Yining,CN,76.01,broken clouds,29.0361,114.5636,Xiushui Hotel
664,Celestun,MX,85.48,overcast clouds,20.8667,-90.4,Posada Lilia
666,Awbari,LY,84.65,clear sky,26.5921,12.7805,فندق أوباري
668,Vaitape,PF,79.56,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
671,Meulaboh,ID,75.33,overcast clouds,4.1363,96.1285,Kost Pria
672,Alta Floresta,BR,82.35,clear sky,-9.8756,-56.0861,Floresta Amazonica Hotel
673,Capinopolis,BR,75.11,clear sky,-18.6819,-49.5697,Tropical Hotel Capinópolis
